Standard:, axo_std.mca0,,,,,,,,,,,,,,,,,,,,,,
realtime[s]:,121.911,121.911,,,,,,,,,,,,,,,,,,,,,
livetime[s]:,119.804,119.804,,,,,,,,,,,,,,,,,,,,,
I_[mA]:,101.966,,,,,,,,,,,,,,,,,,,,,,
US_IC[cts/s]:,"	231435.0",,,,,,,,,,,,,,,,,,,,,,
DS_IC[cts/s]:,"	189396.0",,,,,,,,,,,,,,,,,,,,,,
US_AMP[sensitivity/units/factor]:,100, nA/V,1,,,,,,,,,,,,,,,,,,,,
DS_AMP[sensitivity/units/factor]:,5, nA/V,50,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
name , z, units[DS_IC], units[US_IC], units[SRCurrent], units[1], use, calib, center, shift, width, bkground_left, bkground_right, left_roi[0], right_roi[0], left_bkground[0], right_bkground[0], absorption_1um_element, Be_window_transmission, Ge_dead_layer_transmission, XRF_yield, fraction_photons_absorbed_in_det, air_absoprtion, total_XRF_efficiency_factor
calib_curve_roi,dummy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Mo_L,42,0.11200271,4.93E-05,6.03E-05,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ag_L,47,0.233270319,0.000102775,0.000125587,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Sn_L,50,0.328750882,0.000144842,0.000176991,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Cd_L,48,0.267898138,0.000118031,0.00014423,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,I_L,53,0.486636132,0.000214403,0.000261993,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Cs_L,55,0.639159498,0.000281602,0.000344107,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ba_L,56,0.719078214,0.000316813,0.000387133,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Eu_L,63,1.476787373,0.000650645,0.000795065,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Gd_L,64,1.692260755,0.000745579,0.00091107,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,W_L,74,3.5417661,0.001560437,0.001906797,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Pt_L,78,1.814221096,0.000799312,0.000976731,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Au_L,79,1.941325396,0.000855312,0.00104516,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Hg_L,80,2.043379584,0.000900275,0.001100104,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Pb_L,82,2.237896916,0.000985976,0.001204827,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,U_L,92,3.115821969,0.001372774,0.001677479,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Pu_L,94,1.845591044,0.000813133,0.000993619,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Sm_L,62,1.404589011,0.000618836,0.000756195,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Y_L,39,0.06496713,2.86E-05,3.50E-05,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Pr_L,59,0.996622935,0.000439094,0.000536556,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Ce_L,58,0.898373865,0.000395807,0.000483662,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Zr_L,40,0.079643053,3.51E-05,4.29E-05,0,0,0,0,,,,,,,,,,,,,,
calib_curve_roi,Os_L,76,1.576246401,0.000694465,0.000848611,0,0,0,0,,,,,,,,,,,,,,
